rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3005,0.0,0.0
0,10,0.487236,0.487305,1119,8156.8,586.747
0,20,0.505287,0.505493,874,8165.99,592.113
0,30,0.527641,0.528076,809,8159.43,591.577
0,40,0.552891,0.553101,720,8155.58,596.041
0,50,0.527651,0.527832,680,8163.88,598.017
0,60,0.502338,0.502197,689,8163.79,601.061
0,70,0.470745,0.469971,706,8159.18,598.43
0,80,0.461466,0.460815,665,8163.63,594.956
0,90,0.461111,0.460632,663,8151.6,592.511
0,100,0.43828,0.438843,653,8159.65,589.178
0,110,0.436491,0.438599,652,8162.75,589.164
0,120,0.428467,0.431274,661,8165.02,587.273
0,130,0.395889,0.397339,672,8169.52,587.099
0,140,0.404913,0.407593,662,8157.12,589.176
0,150,0.423544,0.425903,692,8154.61,586.557
0,160,0.422953,0.424072,651,8156.59,586.142
0,170,0.39031,0.390747,644,8159.62,585.978
0,180,0.372475,0.373047,658,8161.68,590.821
0,190,0.351757,0.352783,625,8163.95,592.53
0,200,0.338089,0.338928,622,8158.49,594.079
0,210,0.336414,0.337524,636,8162.5,591.836
0,220,0.354897,0.355042,663,8154.64,590.546
0,230,0.390303,0.390259,627,8162.67,595.016
0,240,0.399832,0.399658,651,8161.63,591.495
0,250,0.406715,0.406494,639,8155.81,583.639
0,260,0.425394,0.425537,654,8160.73,579.877
0,270,0.441072,0.441528,644,8162.4,579.333
0,280,0.456278,0.457397,659,8168.69,578.815
0,290,0.444611,0.446777,668,8158.57,582.254
0,300,0.469774,0.473145,666,8165.24,586.732
1,0,0.5,0.5,3008,0.0,0.0
1,10,0.48674,0.486694,1096,8162.05,578.799
1,20,0.530767,0.530701,907,8157.29,578.04
1,30,0.521202,0.520752,792,8158.88,590.76
1,40,0.54719,0.545654,801,8153.96,586.464
1,50,0.565615,0.563843,750,8144.72,593.304
1,60,0.571438,0.571045,662,8158.49,599.495
1,70,0.554417,0.553589,677,8158.35,595.786
1,80,0.538298,0.537842,665,8156.47,593.132
1,90,0.564796,0.566528,707,8158.34,594.361
1,100,0.577541,0.579712,664,8161.97,603.436
1,110,0.533136,0.536499,699,8160.87,601.324
1,120,0.530333,0.533691,660,8159.52,600.349
1,130,0.509953,0.514404,678,8156.53,600.083
1,140,0.53072,0.535889,694,8160.1,599.152
1,150,0.534197,0.539917,689,8164.29,601.033
1,160,0.5306,0.53833,666,8155.08,608.007
1,170,0.533104,0.53833,655,8159.64,611.27
1,180,0.553104,0.557373,650,8147.01,612.163
1,190,0.55238,0.556519,687,8145.78,608.084
1,200,0.539032,0.542847,711,8157.12,606.833
1,210,0.533613,0.536743,681,8162.87,603.247
1,220,0.499289,0.50293,726,8140.1,593.468
1,230,0.494307,0.49585,730,8145.8,593.966
1,240,0.505571,0.506348,693,8161.13,603.405
1,250,0.500341,0.501221,680,8157.95,604.041
1,260,0.468824,0.468689,673,8153.33,605.598
1,270,0.460161,0.459045,681,8160.51,614.649
1,280,0.457159,0.458069,709,8153.45,616.178
1,290,0.458527,0.460999,687,8140.7,612.634
1,300,0.469551,0.473389,680,8152.03,611.803
2,0,0.5,0.5,2975,0.0,0.0
2,10,0.48172,0.481812,1104,8150.27,581.714
2,20,0.488247,0.48822,858,8156.74,586.314
2,30,0.499872,0.499512,782,8151.96,586.361
2,40,0.51976,0.519409,767,8147.95,581.354
2,50,0.503454,0.503174,789,8139.01,574.622
2,60,0.510986,0.510742,755,8150.93,571.827
2,70,0.50202,0.501831,763,8144.26,566.992
2,80,0.511446,0.511353,726,8139.35,572.988
2,90,0.475054,0.474854,726,8139.15,570.688
2,100,0.461712,0.461548,727,8127.34,574.334
2,110,0.449127,0.448853,707,8139.64,579.073
2,120,0.429667,0.429321,744,8108.74,575.117
2,130,0.449856,0.449768,697,8151.0,580.378
2,140,0.461901,0.461914,728,8154.91,584.987
2,150,0.472517,0.472168,739,8151.04,585.891
2,160,0.479919,0.479431,706,8150.66,584.574
2,170,0.445667,0.44519,687,8140.72,582.036
2,180,0.479439,0.47876,684,8158.66,581.857
2,190,0.472446,0.47168,718,8157.28,587.815
2,200,0.466482,0.465576,714,8152.98,590.033
2,210,0.46133,0.460205,696,8159.05,590.213
2,220,0.466682,0.46582,697,8159.13,586.565
2,230,0.488979,0.488281,702,8150.01,582.296
2,240,0.47554,0.474609,705,8146.6,581.761
2,250,0.474525,0.47406,706,8147.49,586.601
2,260,0.467781,0.467651,700,8167.93,590.481
2,270,0.460581,0.460693,702,8168.73,587.259
2,280,0.466896,0.466553,717,8175.53,580.686
2,290,0.465939,0.465454,717,8156.88,577.966
2,300,0.500235,0.500854,719,8156.43,574.449
3,0,0.5,0.5,2991,0.0,0.0
3,10,0.51763,0.517639,1128,8145.77,574.499
3,20,0.526524,0.526733,876,8144.86,572.817
3,30,0.503443,0.50354,800,8145.61,577.714
3,40,0.497982,0.498047,744,8144.78,582.374
3,50,0.508951,0.508606,708,8163.19,581.697
3,60,0.528969,0.528809,719,8158.2,575.652
3,70,0.541887,0.54248,673,8158.4,574.77
3,80,0.57003,0.57019,642,8161.31,576.435
3,90,0.584949,0.585083,653,8157.75,578.756
3,100,0.596872,0.597107,645,8167.14,581.903
3,110,0.611851,0.612427,656,8165.22,575.841
3,120,0.595287,0.596313,619,8157.41,575.225
3,130,0.582571,0.583618,639,8158.61,582.976
3,140,0.602123,0.602905,630,8158.7,575.201
3,150,0.575083,0.576294,658,8160.49,563.677
3,160,0.57036,0.573608,621,8164.95,560.6
3,170,0.595873,0.599731,641,8157.29,555.28
3,180,0.590063,0.593384,648,8166.62,547.659
3,190,0.572077,0.574646,635,8163.4,551.532
3,200,0.525499,0.528076,622,8166.63,549.025
3,210,0.524092,0.525879,644,8154.31,544.464
3,220,0.536228,0.537842,674,8148.72,536.152
3,230,0.520201,0.519775,645,8144.18,537.904
3,240,0.523752,0.522949,628,8160.29,538.13
3,250,0.542019,0.54187,620,8168.52,548.021
3,260,0.577225,0.577759,613,8167.36,550.225
3,270,0.560816,0.5625,627,8163.8,548.318
3,280,0.544106,0.549194,602,8163.11,549.174
3,290,0.553577,0.559082,613,8166.34,549.519
3,300,0.56485,0.571655,612,8165.36,554.874
4,0,0.5,0.5,2986,0.0,0.0
4,10,0.479149,0.479004,1107,8154.84,576.874
4,20,0.506632,0.506714,900,8154.51,581.197
4,30,0.513613,0.513794,824,8154.68,583.423
4,40,0.521666,0.522461,795,8161.0,579.285
4,50,0.533829,0.534912,725,8148.95,577.997
4,60,0.544239,0.545776,688,8158.16,580.046
4,70,0.562468,0.565369,679,8168.23,581.998
4,80,0.521032,0.525146,640,8161.28,582.471
4,90,0.54203,0.544922,690,8164.77,582.342
4,100,0.527138,0.52887,645,8163.67,582.942
4,110,0.516621,0.519287,661,8150.24,588.389
4,120,0.504433,0.505005,670,8157.86,594.84
4,130,0.499638,0.501343,643,8159.58,596.163
4,140,0.494762,0.496338,630,8170.01,598.129
4,150,0.492439,0.493774,613,8156.51,599.371
4,160,0.509912,0.511475,654,8168.28,598.858
4,170,0.505491,0.506714,640,8167.94,592.271
4,180,0.513706,0.514648,625,8164.19,589.859
4,190,0.534338,0.536621,667,8166.64,585.201
4,200,0.517271,0.521118,669,8163.87,588.803
4,210,0.50811,0.512695,627,8164.87,598.571
4,220,0.529631,0.536926,643,8167.04,604.315
4,230,0.512127,0.524414,688,8157.39,598.567
4,240,0.515806,0.526367,657,8143.39,605.054
4,250,0.502897,0.514526,656,8156.23,616.617
4,260,0.494316,0.504395,662,8160.4,628.123
4,270,0.472628,0.480469,630,8164.92,639.291
4,280,0.459892,0.46698,644,8159.17,643.461
4,290,0.48686,0.497681,619,8153.43,639.819
4,300,0.504253,0.513428,647,8156.9,629.61
