rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,2951,0.0,0.0
0,10,0.488989,0.487915,1166,8123.34,866.143
0,20,0.493849,0.492737,912,8114.02,859.525
0,30,0.498161,0.497314,844,8115.38,854.183
0,40,0.523756,0.522705,801,8089.39,846.471
0,50,0.504896,0.50293,788,8085.76,846.653
0,60,0.491796,0.48999,760,8063.81,851.401
0,70,0.481207,0.47937,784,8080.85,862.797
0,80,0.493071,0.491821,719,8114.98,865.118
0,90,0.48748,0.487183,711,8118.78,849.689
0,100,0.475418,0.475342,678,8129.18,861.031
0,110,0.472122,0.47229,687,8142.53,884.905
0,120,0.460222,0.460449,703,8141.82,869.822
0,130,0.434624,0.43457,716,8139.64,864.845
0,140,0.450048,0.450073,695,8141.39,858.241
0,150,0.473255,0.474792,754,8140.72,853.237
0,160,0.480965,0.482056,721,8142.07,855.726
0,170,0.469343,0.472412,694,8146.9,842.599
0,180,0.454105,0.454712,705,8150.29,853.565
0,190,0.423582,0.423828,696,8158.11,840.352
0,200,0.397995,0.397888,703,8142.94,830.089
0,210,0.408585,0.408569,661,8147.41,828.953
0,220,0.409742,0.408691,711,8150.37,844.042
0,230,0.431007,0.430664,694,8145.28,870.72
0,240,0.434055,0.434082,686,8157.67,853.112
0,250,0.431503,0.43103,691,8157.45,837.573
0,260,0.446144,0.446289,705,8159.55,837.879
0,270,0.452456,0.452271,687,8166.27,820.454
0,280,0.456509,0.456421,703,8166.0,821.24
0,290,0.453468,0.453125,724,8147.9,824.688
0,300,0.479494,0.479126,717,8146.48,839.504
1,0,0.5,0.5,2890,0.0,0.0
1,10,0.485952,0.485291,1129,8136.3,865.383
1,20,0.525673,0.525757,916,8135.29,867.052
1,30,0.512829,0.512451,775,8139.17,855.05
1,40,0.535872,0.533936,754,8138.69,869.111
1,50,0.552145,0.550354,730,8147.94,858.328
1,60,0.553511,0.55249,664,8137.82,857.707
1,70,0.516724,0.514771,690,8138.87,866.233
1,80,0.497396,0.494873,678,8145.55,897.076
1,90,0.510975,0.508484,703,8141.74,900.368
1,100,0.497993,0.49585,654,8161.61,900.792
1,110,0.471226,0.471436,682,8157.39,917.489
1,120,0.463202,0.462524,655,8150.02,923.577
1,130,0.452856,0.452271,665,8145.64,925.94
1,140,0.454798,0.454529,690,8154.95,923.988
1,150,0.4606,0.460754,667,8150.19,937.146
1,160,0.441591,0.440796,637,8155.79,957.116
1,170,0.421925,0.422485,631,8151.08,966.747
1,180,0.429916,0.430176,630,8144.33,964.421
1,190,0.433149,0.433228,662,8136.12,957.466
1,200,0.416685,0.414429,690,8156.06,965.026
1,210,0.413465,0.412903,680,8156.08,970.165
1,220,0.386978,0.388184,672,8152.31,969.514
1,230,0.375908,0.375732,708,8143.66,961.565
1,240,0.387281,0.387085,683,8139.01,954.93
1,250,0.389231,0.390015,664,8144.77,961.43
1,260,0.347095,0.347595,657,8154.9,962.09
1,270,0.353392,0.354248,652,8149.12,979.907
1,280,0.34692,0.347168,672,8149.57,971.494
1,290,0.358189,0.359253,649,8156.29,967.836
1,300,0.376741,0.377441,650,8157.48,967.952
2,0,0.5,0.5,2968,0.0,0.0
2,10,0.483118,0.481445,1131,8120.94,858.647
2,20,0.48667,0.485168,912,8123.63,853.392
2,30,0.505373,0.50415,812,8135.68,848.011
2,40,0.525953,0.524902,797,8130.73,840.713
2,50,0.504932,0.502319,828,8115.94,835.087
2,60,0.511787,0.509705,806,8106.95,840.967
2,70,0.500881,0.498657,791,8109.76,839.973
2,80,0.518757,0.516357,751,8136.22,820.133
2,90,0.486334,0.485474,712,8145.52,814.275
2,100,0.465853,0.464417,695,8144.36,813.846
2,110,0.463142,0.462524,677,8161.84,814.511
2,120,0.459938,0.459473,721,8145.54,812.962
2,130,0.463285,0.462219,705,8147.13,805.999
2,140,0.461746,0.462036,733,8149.57,797.557
2,150,0.484552,0.484741,739,8136.85,785.93
2,160,0.502325,0.502014,682,8146.87,780.831
2,170,0.485514,0.485168,711,8141.13,771.494
2,180,0.516325,0.516541,688,8149.08,762.8
2,190,0.509733,0.510132,726,8134.18,768.763
2,200,0.501465,0.501709,688,8130.67,771.281
2,210,0.492395,0.492065,666,8149.32,770.172
2,220,0.496859,0.49585,679,8154.03,770.761
2,230,0.510199,0.510376,671,8149.87,773.027
2,240,0.50736,0.508667,688,8145.02,768.764
2,250,0.499159,0.500122,725,8125.45,771.933
2,260,0.500387,0.500977,714,8149.82,768.62
2,270,0.499733,0.50238,688,8148.26,780.436
2,280,0.511841,0.515747,726,8159.06,775.749
2,290,0.490311,0.493652,725,8135.99,772.541
2,300,0.526251,0.528931,704,8141.63,779.751
3,0,0.5,0.5,2963,0.0,0.0
3,10,0.51137,0.51001,1113,8130.45,860.801
3,20,0.518785,0.516846,878,8154.74,849.422
3,30,0.492599,0.48999,831,8146.19,844.259
3,40,0.486153,0.483887,786,8148.9,842.325
3,50,0.503763,0.503052,739,8160.17,841.458
3,60,0.521742,0.52002,736,8151.69,825.649
3,70,0.5345,0.531128,725,8153.91,807.547
3,80,0.569485,0.568481,698,8158.2,794.223
3,90,0.569551,0.569458,692,8147.88,814.419
3,100,0.571175,0.570801,728,8154.64,825.744
3,110,0.566547,0.565613,718,8156.61,821.842
3,120,0.552502,0.551392,714,8147.75,813.281
3,130,0.53487,0.534607,728,8144.47,819.084
3,140,0.532179,0.530029,729,8153.45,817.429
3,150,0.503534,0.500122,766,8138.94,832.222
3,160,0.518742,0.516479,773,8141.84,851.305
3,170,0.530342,0.5271,774,8134.24,864.806
3,180,0.511694,0.50885,777,8141.95,850.949
3,190,0.504368,0.500122,745,8155.32,852.339
3,200,0.472904,0.46814,722,8163.84,854.53
3,210,0.462391,0.458862,747,8152.06,860.812
3,220,0.468554,0.465454,750,8141.73,875.371
3,230,0.467407,0.466553,712,8155.95,887.049
3,240,0.472307,0.471436,731,8151.5,887.639
3,250,0.476881,0.477051,703,8159.57,878.691
3,260,0.477377,0.476929,719,8162.74,871.584
3,270,0.438555,0.438232,715,8157.18,863.734
3,280,0.459564,0.46106,703,8143.83,853.11
3,290,0.45573,0.456421,687,8159.2,857.562
3,300,0.47253,0.473389,686,8159.08,854.253
4,0,0.5,0.5,2937,0.0,0.0
4,10,0.486729,0.486938,1142,8117.76,860.657
4,20,0.513058,0.515015,917,8146.16,861.917
4,30,0.514009,0.515503,810,8158.24,860.589
4,40,0.50593,0.506348,799,8156.79,870.923
