rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3000,0.0,0.0
0,10,0.489874,0.489624,1183,8133.24,778.312
0,20,0.505884,0.505371,939,8120.32,770.332
0,30,0.5233,0.522705,877,8112.73,756.685
0,40,0.554502,0.553711,794,8102.12,745.604
0,50,0.531633,0.530518,814,8097.49,734.552
0,60,0.530884,0.528931,805,8066.99,730.528
0,70,0.506723,0.505371,805,8080.83,753.67
0,80,0.513874,0.51355,753,8119.76,769.002
0,90,0.517996,0.51825,758,8121.4,757.371
0,100,0.519337,0.519409,722,8129.29,761.844
0,110,0.527233,0.52771,719,8146.97,775.278
0,120,0.51965,0.52002,741,8142.78,783.56
0,130,0.483881,0.484619,760,8138.97,792.942
0,140,0.510454,0.510376,722,8145.26,788.03
0,150,0.504803,0.504028,774,8151.6,789.649
0,160,0.536215,0.535034,746,8156.06,783.05
0,170,0.520283,0.5177,708,8164.0,776.118
0,180,0.515207,0.514526,742,8148.56,788.392
0,190,0.491936,0.491943,727,8154.09,786.531
0,200,0.460787,0.461304,730,8139.61,786.244
0,210,0.468533,0.468628,700,8149.83,790.48
0,220,0.469238,0.470337,749,8148.7,798.816
0,230,0.498077,0.499207,707,8150.58,812.319
0,240,0.499819,0.500916,706,8159.86,790.394
0,250,0.496878,0.497437,695,8160.77,764.136
0,260,0.516344,0.517578,719,8147.06,764.159
0,270,0.541405,0.542847,684,8163.84,754.699
0,280,0.545771,0.548218,703,8166.98,762.587
0,290,0.549822,0.553223,718,8155.84,758.428
0,300,0.559103,0.563599,714,8157.44,753.036
1,0,0.5,0.5,3022,0.0,0.0
1,10,0.485348,0.484924,1152,8135.35,776.915
1,20,0.530737,0.530701,939,8141.5,770.883
1,30,0.519598,0.518982,824,8144.33,753.893
1,40,0.539261,0.537598,809,8141.46,752.32
1,50,0.56127,0.559387,773,8149.69,742.168
1,60,0.563847,0.562378,722,8139.75,728.495
1,70,0.52622,0.524048,725,8133.99,734.981
1,80,0.498459,0.495483,709,8132.65,770.972
1,90,0.506212,0.503296,729,8139.17,778.566
1,100,0.500046,0.49707,713,8154.9,774.095
1,110,0.472504,0.471802,706,8151.56,790.834
1,120,0.45849,0.457397,682,8153.42,820.029
1,130,0.459011,0.45813,676,8149.27,820.101
1,140,0.478001,0.477173,705,8161.59,819.253
1,150,0.493635,0.493225,711,8150.94,819.982
1,160,0.475288,0.473999,666,8157.3,833.862
1,170,0.456301,0.455566,632,8148.27,846.306
1,180,0.457129,0.455688,638,8162.88,843.694
1,190,0.452335,0.449829,689,8155.69,837.857
1,200,0.433952,0.430298,722,8159.84,829.575
1,210,0.431141,0.429077,707,8157.24,818.71
1,220,0.421036,0.419922,685,8152.88,813.971
1,230,0.405607,0.402283,732,8143.35,821.695
1,240,0.399223,0.395569,731,8148.63,810.062
1,250,0.390642,0.386475,708,8153.93,811.839
1,260,0.346458,0.341492,689,8155.81,814.819
1,270,0.319342,0.314575,695,8148.99,840.273
1,280,0.319347,0.313599,710,8127.48,848.253
1,290,0.351259,0.346558,684,8146.95,844.358
1,300,0.367674,0.364685,688,8140.56,826.752
2,0,0.5,0.5,3060,0.0,0.0
2,10,0.483652,0.482666,1142,8132.0,773.202
2,20,0.491571,0.491028,919,8127.09,774.439
2,30,0.50584,0.504639,830,8134.83,771.665
2,40,0.522665,0.521484,804,8134.59,777.355
2,50,0.507534,0.505737,816,8125.35,782.534
2,60,0.508976,0.50708,796,8110.47,783.451
2,70,0.500572,0.498779,766,8117.39,786.04
2,80,0.508575,0.507446,746,8138.64,779.202
2,90,0.480694,0.480591,710,8148.44,780.299
2,100,0.454037,0.454102,697,8141.7,783.236
2,110,0.441885,0.441772,684,8156.85,788.827
2,120,0.437429,0.437012,731,8150.88,792.301
2,130,0.455282,0.454468,708,8151.25,777.307
2,140,0.46505,0.464844,725,8155.99,775.025
2,150,0.462181,0.462524,738,8150.04,780.492
2,160,0.487091,0.487427,669,8159.98,785.914
2,170,0.463003,0.463867,700,8151.19,773.029
2,180,0.475452,0.475708,663,8163.04,774.799
2,190,0.45846,0.457764,699,8155.98,785.144
2,200,0.461433,0.460327,678,8155.7,782.906
2,210,0.45335,0.452637,665,8158.1,776.649
2,220,0.47403,0.473145,667,8164.66,767.745
2,230,0.472723,0.473511,655,8147.51,766.871
2,240,0.472488,0.47522,646,8158.22,769.977
2,250,0.479136,0.479797,690,8149.09,769.578
2,260,0.484566,0.486694,691,8158.22,760.607
2,270,0.483011,0.485291,694,8162.43,763.648
2,280,0.514338,0.516235,729,8160.75,754.867
2,290,0.510714,0.513245,726,8146.96,744.855
2,300,0.537388,0.541748,719,8153.31,743.664
3,0,0.5,0.5,3021,0.0,0.0
3,10,0.519392,0.519409,1145,8141.98,761.006
3,20,0.527477,0.527588,908,8153.78,747.538
3,30,0.501831,0.500854,826,8144.1,748.197
3,40,0.494455,0.494507,764,8146.0,744.851
3,50,0.52001,0.519897,734,8158.89,736.138
3,60,0.540436,0.539917,746,8147.44,726.735
3,70,0.554344,0.553955,692,8139.97,720.821
3,80,0.582874,0.582275,685,8154.93,712.315
3,90,0.575586,0.574829,704,8155.43,731.593
3,100,0.586294,0.585022,701,8156.07,736.477
3,110,0.580553,0.579468,723,8155.42,732.781
3,120,0.566187,0.564941,686,8151.7,733.978
3,130,0.566708,0.565796,705,8157.44,739.497
3,140,0.582806,0.582886,715,8154.08,740.182
3,150,0.563786,0.563416,739,8141.88,743.857
3,160,0.57473,0.573975,695,8141.69,755.899
3,170,0.582201,0.581055,712,8146.86,761.137
3,180,0.56753,0.566589,749,8145.41,753.827
3,190,0.568054,0.567383,679,8155.72,763.531
3,200,0.529524,0.528687,675,8166.76,778.181
3,210,0.541904,0.541565,724,8148.92,787.978
3,220,0.569733,0.569946,720,8147.48,783.601
3,230,0.566019,0.566467,695,8162.9,791.089
3,240,0.580639,0.580933,728,8145.13,775.555
3,250,0.569454,0.56897,701,8154.16,755.951
3,260,0.536339,0.535217,715,8157.2,756.578
3,270,0.501986,0.501343,709,8157.36,772.83
3,280,0.528166,0.528198,690,8151.2,765.404
3,290,0.514156,0.514404,686,8161.18,766.492
3,300,0.513765,0.513794,683,8160.2,776.213
4,0,0.5,0.5,3028,0.0,0.0
4,10,0.485033,0.485107,1150,8136.99,766.269
4,20,0.515261,0.517334,925,8149.32,764.261
4,30,0.519417,0.52063,840,8157.73,769.242
4,40,0.523199,0.523804,801,8155.73,779.113
4,50,0.529659,0.530151,765,8156.89,768.72
4,60,0.522341,0.522461,747,8154.33,779.693
4,70,0.533405,0.534119,728,8163.61,769.481
4,80,0.476551,0.477783,676,8163.62,772.674
4,90,0.498926,0.500977,740,8150.97,767.127
4,100,0.500038,0.501404,695,8158.68,756.431
4,110,0.470858,0.47168,700,8152.53,760.626
4,120,0.466593,0.467163,732,8146.27,766.151
4,130,0.478659,0.479736,695,8154.38,771.68
4,140,0.460243,0.460693,682,8157.01,773.383
4,150,0.468512,0.46875,688,8149.54,772.842
4,160,0.501734,0.503052,711,8158.32,759.993
4,170,0.52219,0.523071,680,8163.28,752.669
4,180,0.517544,0.519409,705,8148.98,738.551
4,190,0.536684,0.539307,767,8155.61,725.449
4,200,0.516245,0.520142,733,8160.04,718.493
