rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,2919,0.0,0.0
0,10,0.492691,0.492554,1193,7956.25,814.236
0,20,0.507015,0.50708,936,7885.6,801.557
0,30,0.523508,0.523804,857,7923.94,787.239
0,40,0.550301,0.549927,777,7972.01,779.128
0,50,0.535967,0.53418,795,7931.18,765.726
0,60,0.534239,0.532593,772,7938.7,754.131
0,70,0.507051,0.504761,780,7948.46,767.373
0,80,0.515211,0.513916,724,7986.75,771.431
0,90,0.508387,0.507935,708,8007.8,753.431
0,100,0.492109,0.491943,683,8071.5,766.984
0,110,0.476068,0.475891,677,8068.0,795.855
0,120,0.462606,0.46228,703,8100.54,817.074
0,130,0.429653,0.429932,719,8116.12,829.118
0,140,0.432299,0.432556,679,8096.21,825.477
0,150,0.443914,0.444214,742,8090.09,813.795
0,160,0.460659,0.46106,711,8087.93,812.797
0,170,0.440226,0.440918,674,8083.76,811.409
0,180,0.437584,0.438843,719,8060.12,815.96
0,190,0.424006,0.424194,698,8036.32,808.083
0,200,0.397434,0.397034,724,8060.0,802.141
0,210,0.414627,0.414429,676,8057.83,797.527
0,220,0.431046,0.431641,729,8078.68,793.376
0,230,0.45286,0.453735,703,8088.94,809.868
0,240,0.437815,0.438232,691,8077.07,808.261
0,250,0.442871,0.443115,678,8084.42,799.62
0,260,0.451057,0.451416,698,8122.36,807.027
0,270,0.474506,0.474976,673,8135.74,791.096
0,280,0.487707,0.489624,698,8137.59,785.772
0,290,0.496635,0.499268,724,8129.74,785.165
0,300,0.534796,0.538452,701,8130.12,777.608
1,0,0.5,0.5,2950,0.0,0.0
1,10,0.490763,0.490845,1143,8014.32,804.994
1,20,0.53039,0.530518,932,7965.19,791.604
1,30,0.51668,0.516724,795,7952.81,782.549
1,40,0.541475,0.540344,765,7933.5,782.603
1,50,0.559067,0.559082,759,7937.9,770.218
1,60,0.559839,0.559814,698,7951.76,770.828
1,70,0.524878,0.523438,708,7969.29,777.257
1,80,0.500134,0.497925,701,7977.63,811.565
1,90,0.512012,0.510498,728,7979.2,810.665
1,100,0.501375,0.498901,688,8026.24,806.934
1,110,0.467409,0.46814,699,8023.67,822.869
1,120,0.463221,0.463257,689,7999.76,846.022
1,130,0.452076,0.452332,683,7977.63,839.2
1,140,0.453955,0.454102,703,7969.87,847.199
1,150,0.471186,0.471436,695,7957.12,856.708
1,160,0.453012,0.451904,653,7958.56,865.109
1,170,0.442013,0.442261,635,7954.98,884.036
1,180,0.440336,0.44165,663,7986.45,881.948
1,190,0.430059,0.432617,716,7960.84,868.318
1,200,0.418678,0.42041,720,7999.05,869.987
1,210,0.408354,0.410156,715,7983.48,867.394
1,220,0.38575,0.390625,697,7989.86,888.779
1,230,0.384127,0.388062,727,8009.54,899.155
1,240,0.382265,0.386353,715,8000.96,892.495
1,250,0.398212,0.399536,688,7967.47,895.096
1,260,0.368256,0.370239,711,7957.76,894.213
1,270,0.361185,0.363647,722,7956.89,907.102
1,280,0.351978,0.354248,727,8001.06,915.616
1,290,0.36491,0.369019,711,8055.81,910.102
1,300,0.381477,0.387817,695,8071.23,901.031
2,0,0.5,0.5,2954,0.0,0.0
2,10,0.481302,0.480469,1133,8018.22,816.416
2,20,0.491676,0.490601,912,8040.63,814.032
