# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       589  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       461  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       260  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       218  ................  00000000000000000000000000000000
       193  ................  02020202020202020202020202020202
        98  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        88  ................  fefefefefefefefefefefefefefefefe
        85  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        82  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
# epoch 2000  H=7.8514 C=7.6479 HO=0.1325  A(t)=243
       490  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       385  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       272  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       174  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       109  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       105  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       104  ................  ffffffffffffffffffffffffffffffff
       104  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
       104  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       101  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
# epoch 2250  H=7.8397 C=7.6384 HO=0.1305  A(t)=269
       782  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       405  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       325  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       295  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       184  ................  02020202020202020202020202020202
       111  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       106  ................  01010101010101010101010101010101
        83  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        76  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        70  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 2500  H=7.8294 C=7.6294 HO=0.1336  A(t)=284
       681  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       506  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       246  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       186  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       184  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       134  ................  ffffffffffffffffffffffffffffffff
       119  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       115  ................  fefefefefefefefefefefefefefefefe
       107  ''''''''''''''''  27272727272727272727272727272727
        98  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
# epoch 2750  H=7.8195 C=7.5989 HO=0.1485  A(t)=292
       636  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       483  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       291  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       277  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       174  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       162  ................  02020202020202020202020202020202
       138  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       128  ................  03030303030303030303030303030303
       106  0000000000000000  30303030303030303030303030303030
        97  ................  ffffffffffffffffffffffffffffffff
# epoch 3000  H=7.8060 C=7.5874 HO=0.1452  A(t)=301
       679  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       646  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       419  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       238  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       217  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       173  ................  01010101010101010101010101010101
       135  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
       133  ................  00000000000000000000000000000000
       128  0000000000000000  30303030303030303030303030303030
       109  ................  02020202020202020202020202020202
# epoch 3250  H=7.8005 C=7.5761 HO=0.1518  A(t)=305
       684  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       524  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       305  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       189  ................  ffffffffffffffffffffffffffffffff
       180  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       162  ................  01010101010101010101010101010101
