# epoch 12750  H=6.3475 C=1.1832 HO=5.8193  A(t)=0
      1349  .?N20[.2....[E8.  0f3f4e32305b1b32b49208b75b453818
      1230  ?.?N20[.2....[E8  3f0f3f4e32305b1b32b49208b75b4538
       991  1...?.?N2.2.2..X  3194feff3f863f4e3205320b32b4b758
       984  .?N2.2.2..X.[E.2  863f4e3205320b32b4b758b75b45e532
       966  ?.?N2.2.2..X.[E.  3f863f4e3205320b32b4b758b75b45e5
       964  .?.?N2.2.2..X.[E  ff3f863f4e3205320b32b4b758b75b45
       924  N20[.2....[E8.E.  4e32305b1b32b49208b75b45381845ec
       924  20[.2....[E8.E..  32305b1b32b49208b75b45381845ec08
       923  ..?..N2.2.2....[  feff3f0fef4e32ec321b32b4b708b75b
       912  ..?.?N2.2.2..X.[  feff3f863f4e3205320b32b4b758b75b
# epoch 13000  H=6.4821 C=1.2138 HO=5.9616  A(t)=0
       831  ?.@...1...?.?N2.  3fff40fefead3194feff3f863f4e3205
       827  .@...1...?.?N2.2  ff40fefead3194feff3f863f4e320532
       810  @...1...?.?N2.2.  40fefead3194feff3f863f4e3205320b
       804  .1...?.?N2.2.2..  ad3194feff3f863f4e3205320b32b4b7
       796  .2>Y222}.,],,.a1  d6323e593232327dd02c5d2c2cff6131
       796  1...?.?N2.2.2..X  3194feff3f863f4e3205320b32b4b758
       787  ...2>Y222}.,],,.  1ae3d6323e593232327dd02c5d2c2cff
       775  ..1...?.?N2.2.2.  fead3194feff3f863f4e3205320b32b4
       773  ..2>Y222}.,],,.a  e3d6323e593232327dd02c5d2c2cff61
       740  ..?.?N2.2.2..X.[  feff3f863f4e3205320b32b4b758b75b
# epoch 13250  H=6.6360 C=1.2326 HO=6.1210  A(t)=0
      1002  ..[..2uv>2222},]  08835be6e53275763e323232327d2c5d
       996  .[..2uv>2222},]}  835be6e53275763e323232327d2c5d7d
       994  2uv>2222},]}...e  3275763e323232327d2c5d7dfefeb065
       968  v>2222},]}...e.'  763e323232327d2c5d7dfefeb0659427
       968  uv>2222},]}...e.  75763e323232327d2c5d7dfefeb06594
       960  .[O...2....,2,2>  b75b4fe5978532d308fe082c322c323e
       946  ..[O...2....,2,2  08b75b4fe5978532d308fe082c322c32
       931  [O...2....,2,2>.  5b4fe5978532d308fe082c322c323efb
       922  ...[..2uv>2222},  b708835be6e53275763e323232327d2c
       883  Z?k2.2...O..[O..  5a3f6b3205321be6b44f08b75b4fe597
# epoch 13500  H=6.7245 C=1.2180 HO=6.2269  A(t)=0
       928  ..%.....[E.2|.>o  05cc25eab4b70d1c5b45e5327c923e6f
       922  .n2..%.....[E.2|  fe6e3205cc25eab4b70d1c5b45e5327c
       909  2..%.....[E.2|.>  3205cc25eab4b70d1c5b45e5327c923e
       889  ..n2..%.....[E.2  0ffe6e3205cc25eab4b70d1c5b45e532
       885  .?..n2..%.....[E  ff3f0ffe6e3205cc25eab4b70d1c5b45
       879  n2..%.....[E.2|.  6e3205cc25eab4b70d1c5b45e5327c92
       876  .%.....[E.2|.>o/  cc25eab4b70d1c5b45e5327c923e6f2f
       823  ?..n2..%.....[E.  3f0ffe6e3205cc25eab4b70d1c5b45e5
       805  ..N..2.2....[...  0f174e1505321b32accf93b75b1105c2
       732  %.....[E.2|.>o/.  25eab4b70d1c5b45e5327c923e6f2f16
# epoch 13750  H=6.8057 C=1.1919 HO=6.3071  A(t)=1028
      1057  222}E,].,..1.0e^  3232327d452c5d132cfffe319430655e
       980  .?..n2..%.....[E  ff3f0ffe6e3205cc25eab4b70d1c5b45
       952  .:..[...|.7.2^..  b43ad7b45b840d0f7c143708325ea2c8
       947  ..n2..%.....[E.2  0ffe6e3205cc25eab4b70d1c5b45e532
       936  2.:..[...|.7.2^.  32b43ad7b45b840d0f7c143708325ea2
