rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
4,20,0.516644,0.51709,964,8132.82,610.602
4,30,0.515015,0.515747,878,8141.12,601.815
4,40,0.518917,0.51947,832,8132.72,596.437
4,50,0.524267,0.52417,794,8134.9,599.442
4,60,0.523111,0.522827,779,8118.8,603.553
4,70,0.541361,0.541016,796,8094.66,602.839
4,80,0.498199,0.497742,757,8084.91,601.834
4,90,0.501375,0.500183,810,8064.53,598.391
4,100,0.495344,0.494202,811,8045.96,603.586
4,110,0.459091,0.457397,768,8038.87,604.876
4,120,0.459433,0.45752,809,8069.14,591.24
4,130,0.468599,0.466919,835,8041.78,582.028
4,140,0.476168,0.474854,816,7995.22,582.412
4,150,0.460522,0.458984,786,8018.65,582.315
4,160,0.489046,0.488342,826,8027.59,587.799
4,170,0.495077,0.494263,766,8043.21,594.736
4,180,0.503614,0.503113,742,8100.23,585.84
4,190,0.508917,0.50824,781,8107.79,583.474
4,200,0.502851,0.501587,803,8097.81,577.519
4,210,0.525818,0.52533,723,8115.61,577.264
4,220,0.527409,0.526855,721,8136.76,576.547
4,230,0.506145,0.506836,755,8141.2,573.611
4,240,0.474169,0.473877,748,8123.47,577.213
4,250,0.463245,0.462524,736,8128.83,576.237
4,260,0.485922,0.486694,746,8145.41,574.044
4,270,0.477798,0.478149,692,8135.74,571.077
4,280,0.463779,0.464233,685,8147.49,569.558
4,290,0.50655,0.50647,696,8129.22,570.525
4,300,0.505259,0.504456,739,8146.72,560.924
