# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
# epoch 1750  H=7.8517 C=7.2797 HO=0.5137  A(t)=288
      3023  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2214  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1513  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
      1023  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       790  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       788  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       552  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       477  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       452  ................  ffffffffffffffffffffffffffffffff
       396  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2000  H=7.8143 C=7.2703 HO=0.4782  A(t)=304
      2726  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2056  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1091  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       948  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       843  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       779  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       490  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       467  ................  ffffffffffffffffffffffffffffffff
       429  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
       422  ................  01010101010101010101010101010101
# epoch 2250  H=7.7797 C=7.2632 HO=0.4366  A(t)=313
      2817  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1815  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1102  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       630  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       628  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       594  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       397  ................  01010101010101010101010101010101
       389  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       329  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       321  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
# epoch 2500  H=7.7427 C=7.2560 HO=0.4059  A(t)=316
      2067  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1560  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1025  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       720  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       660  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       543  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       438  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       369  ................  ffffffffffffffffffffffffffffffff
       332  9999999999999999  39393939393939393939393939393939
       308  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2750  H=7.7160 C=7.2647 HO=0.3718  A(t)=324
      1719  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1038  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       786  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       680  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       554  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       499  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       361  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       282  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       280  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       271  7777777777777777  37373737373737373737373737373737
# epoch 3000  H=7.6872 C=7.2740 HO=0.3381  A(t)=325
      1651  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1275  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       912  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       818  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       625  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       457  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       404  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       325  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       280  9999999999999999  39393939393939393939393939393939
       240  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 3250  H=7.6696 C=7.2942 HO=0.3050  A(t)=327
      1498  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       968  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       636  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       503  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       431  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       415  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       411  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       292  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       205  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
       205  9999999999999999  39393939393939393939393939393939
# epoch 3500  H=7.6541 C=7.3149 HO=0.2670  A(t)=330
      1204  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       705  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       519  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       506  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       484  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       445  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       228  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       228  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       224  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       205  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 3750  H=7.6437 C=7.3410 HO=0.2307  A(t)=330
      1068  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       668  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       619  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
